,idDem,cantMujeres,porcentajeMujeres
724,dem725,3404.0,47.65
725,dem726,22993.0,51.32
726,dem727,3595.0,46.71
727,dem728,21650.0,50.33
728,dem729,8034.0,49.79
729,dem730,1627.0,50.73
730,dem731,2153.0,48.09
731,dem732,3993.0,47.8
732,dem733,11764.0,51.19
733,dem734,3050.0,49.44
734,dem735,9014.0,50.35
735,dem736,365037.0,51.47
736,dem737,6946.0,51.59
737,dem738,17766.0,50.61
738,dem739,6010.0,49.87
739,dem740,5327.0,47.97
740,dem741,4085.0,49.08
741,dem742,5734.0,50.67
742,dem743,6760.0,49.52
743,dem744,4110.0,48.6
744,dem745,2519.0,48.67
745,dem746,4264.0,48.53
746,dem747,2405.0,46.74
747,dem748,12710.0,50.75
748,dem749,3767.0,32.93
749,dem750,6993.0,50.43
750,dem751,1147.0,47.89
751,dem752,72143.0,51.1
752,dem753,3830.0,47.5
753,dem754,60989.0,50.8
754,dem755,2998.0,48.58
755,dem756,5046.0,48.41
756,dem757,15980.0,50.84
757,dem758,1053.0,46.12
758,dem759,3134.0,48.33
759,dem760,2262.0,49.31
760,dem761,3261.0,49.7
761,dem762,1354.0,48.17
762,dem763,8085.0,50.01
763,dem764,14281.0,44.81
764,dem765,6770.0,49.24
765,dem766,54212.0,51.44
766,dem767,4251.0,50.37
767,dem768,2091.0,47.67
768,dem769,76020.0,51.87
769,dem770,2887.0,49.0
770,dem771,11620.0,49.62
771,dem772,2266.0,48.11
772,dem773,3921.0,49.41
773,dem774,11812.0,50.73
774,dem775,10677.0,49.83
775,dem776,4803.0,49.27
776,dem777,73308.0,51.88
777,dem778,1906.0,44.79
778,dem779,3720.0,48.11
779,dem780,8607.0,49.24
780,dem781,45690.0,52.0
781,dem782,5244.0,49.83
782,dem783,879.0,47.98
783,dem784,7719.0,50.4
784,dem785,6185.0,51.69
785,dem786,12623.0,50.07
786,dem787,9555.0,48.69
787,dem788,11314.0,49.08
788,dem789,21638.0,51.38
789,dem790,3687.0,48.32
790,dem791,4680.0,50.51
791,dem792,5948.0,51.12
792,dem793,6016.0,50.51
793,dem794,3186.0,49.3
794,dem795,6982.0,50.05
795,dem796,2362.0,47.19
796,dem797,5447.0,50.83
797,dem798,13912.0,50.56
798,dem799,7636.0,49.93
799,dem800,18116.0,49.78
800,dem801,19354.0,50.02
801,dem802,5957.0,48.33
802,dem803,18675.0,50.28
803,dem804,10738.0,48.24
804,dem805,10652.0,49.47
805,dem806,6610.0,50.71
806,dem807,7839.0,49.18
807,dem808,14528.0,49.99
808,dem809,8392.0,45.24
809,dem810,7185.0,49.95
810,dem811,19970.0,49.87
811,dem812,1560.0,49.52
812,dem813,12958.0,48.62
813,dem814,7017.0,49.43
814,dem815,11105.0,50.56
815,dem816,4125.0,49.71
816,dem817,4917.0,50.03
817,dem818,27124.0,51.02
818,dem819,10318.0,49.95
819,dem820,12220.0,49.77
820,dem821,26632.0,50.32
821,dem822,11487.0,49.4
822,dem823,41211.0,51.51
823,dem824,5145.0,52.27
824,dem825,30324.0,51.67
825,dem826,47888.0,51.47
826,dem827,24924.0,50.19
827,dem828,2245.0,49.48
828,dem829,14284.0,48.07
829,dem830,4565.0,48.04
830,dem831,3859.0,47.85
831,dem832,279079.0,51.82
832,dem833,2999.0,49.54
833,dem834,26822.0,50.38
834,dem835,63562.0,50.99
835,dem836,3437.0,48.51
836,dem837,13386.0,50.33
837,dem838,8975.0,47.9
838,dem839,2885.0,49.83
839,dem840,21099.0,48.27
840,dem841,13234.0,49.84
841,dem842,15644.0,50.83
842,dem843,1246.0,45.98
843,dem844,9748.0,48.12
844,dem845,1314619.0,52.93
845,dem846,318724.0,52.47
846,dem847,4153.0,48.93
847,dem848,5541.0,51.23
