,idEdu,coberturaNeta
751,edu752,0.0
752,edu753,0.0
753,edu754,0.0
754,edu755,0.0
755,edu756,0.0
756,edu757,0.0
757,edu758,0.0
758,edu759,0.0
759,edu760,0.0
760,edu761,0.0
761,edu762,0.0
762,edu763,0.0
763,edu764,0.0
764,edu765,0.0
765,edu766,0.0
766,edu767,0.0
767,edu768,0.0
768,edu769,0.0
769,edu770,0.0
770,edu771,0.0
771,edu772,0.0
772,edu773,0.0
773,edu774,0.0
774,edu775,0.0
775,edu776,0.0
776,edu777,0.0
777,edu778,0.0
778,edu779,0.0
779,edu780,0.0
780,edu781,0.0
781,edu782,0.0
782,edu783,0.0
783,edu784,0.0
784,edu785,0.0
785,edu786,0.0
786,edu787,0.0
787,edu788,0.0
788,edu789,0.0
789,edu790,0.0
790,edu791,0.0
791,edu792,0.0
792,edu793,0.0
793,edu794,0.0
794,edu795,0.0
795,edu796,0.0
796,edu797,0.0
797,edu798,0.0
798,edu799,0.0
799,edu800,0.0
800,edu801,0.0
801,edu802,0.0
802,edu803,0.0
803,edu804,0.0
804,edu805,0.0
805,edu806,0.0
806,edu807,0.0
807,edu808,0.0
808,edu809,0.0
809,edu810,0.0
810,edu811,0.0
811,edu812,0.0
812,edu813,0.0
813,edu814,0.0
814,edu815,0.0
815,edu816,0.0
816,edu817,0.0
817,edu818,0.0
818,edu819,0.0
819,edu820,0.0
820,edu821,0.0
821,edu822,0.0
822,edu823,0.0
823,edu824,0.0
824,edu825,0.0
825,edu826,0.0
826,edu827,0.0
827,edu828,0.0
828,edu829,0.0
829,edu830,0.0
830,edu831,0.0
831,edu832,0.0
832,edu833,0.0
833,edu834,0.0
834,edu835,0.0
835,edu836,0.0
836,edu837,0.0
837,edu838,0.0
838,edu839,0.0
839,edu840,0.0
840,edu841,0.0
841,edu842,0.0
842,edu843,0.0
843,edu844,0.0
844,edu845,0.0
845,edu846,0.0
846,edu847,0.0
847,edu848,0.0
848,edu849,0.0
849,edu850,0.0
850,edu851,0.0
851,edu852,0.0
852,edu853,0.0
853,edu854,0.0
854,edu855,0.0
855,edu856,0.0
856,edu857,0.0
857,edu858,0.0
858,edu859,0.0
859,edu860,0.0
860,edu861,0.0
861,edu862,0.0
862,edu863,0.0
863,edu864,0.0
864,edu865,0.0
865,edu866,0.0
866,edu867,0.0
867,edu868,0.0
868,edu869,0.0
869,edu870,0.0
870,edu871,0.0
871,edu872,0.0
872,edu873,0.0
873,edu874,0.0
874,edu875,0.0
875,edu876,0.0
876,edu877,0.0
877,edu878,0.0
878,edu879,0.0
879,edu880,0.0
880,edu881,0.0
881,edu882,0.0
882,edu883,0.0
883,edu884,0.0
884,edu885,0.0
885,edu886,0.0
886,edu887,0.0
887,edu888,0.0
888,edu889,0.0
889,edu890,0.0
890,edu891,0.0
891,edu892,0.0
892,edu893,0.0
893,edu894,0.0
894,edu895,0.0
895,edu896,0.0
896,edu897,0.0
897,edu898,0.0
898,edu899,0.0
899,edu900,0.0
900,edu901,0.0
901,edu902,0.0
902,edu903,0.0
903,edu904,0.0
904,edu905,0.0
905,edu906,0.0
906,edu907,0.0
907,edu908,0.0
908,edu909,0.0
909,edu910,0.0
910,edu911,0.0
911,edu912,0.0
912,edu913,0.0
913,edu914,0.0
914,edu915,0.0
915,edu916,0.0
916,edu917,0.0
917,edu918,0.0
918,edu919,0.0
919,edu920,0.0
920,edu921,0.0
921,edu922,0.0
922,edu923,0.0
923,edu924,0.0
924,edu925,0.0
925,edu926,0.0
926,edu927,0.0
927,edu928,0.0
928,edu929,0.0
929,edu930,0.0
930,edu931,0.0
931,edu932,0.0
932,edu933,0.0
933,edu934,0.0
934,edu935,0.0
935,edu936,0.0
936,edu937,0.0
937,edu938,0.0
938,edu939,0.0
939,edu940,0.0
940,edu941,0.0
941,edu942,0.0
942,edu943,0.0
943,edu944,0.0
944,edu945,0.0
945,edu946,0.0
946,edu947,0.0
947,edu948,0.0
948,edu949,0.0
949,edu950,0.0
950,edu951,0.0
