,idVio,homiMuj,violenciaMuj,tasaVioMuj,cSecuestros,cDesplazadas,cDesplaExp,cHomicidios
355,vio356,0.0,0.0,0.0,0,0,0,930.0
356,vio357,0.0,0.0,0.0,0,0,0,710.0
357,vio358,0.0,0.0,0.0,0,0,0,10640.0
358,vio359,0.0,1710.0,1768.0,0,0,0,155090.0
359,vio360,0.0,30.0,0.0,0,0,0,20320.0
360,vio361,0.0,30.0,632.0,0,0,0,36050.0
361,vio362,0.0,2150.0,1026.0,0,0,0,55790.0
362,vio363,0.0,570.0,529.0,0,0,0,186660.0
363,vio364,0.0,2840.0,1649.0,0,0,0,229810.0
364,vio365,0.0,90.0,3411.0,0,0,0,21860.0
365,vio366,0.0,70.0,5985.0,0,0,0,8610.0
366,vio367,0.0,60.0,1706.0,0,0,0,18020.0
367,vio368,0.0,560.0,2647.0,0,0,0,200590.0
368,vio369,0.0,0.0,5631.0,0,0,0,2970.0
369,vio370,0.0,720.0,296.0,0,0,0,240030.0
370,vio371,0.0,50.0,0.0,0,0,0,5570.0
371,vio372,0.0,950.0,1762.0,0,0,0,131980.0
372,vio373,0.0,100.0,3419.0,0,0,0,11420.0
373,vio374,0.0,160.0,4096.0,0,0,0,3890.0
374,vio375,0.0,40.0,3766.0,0,0,0,22820.0
375,vio376,0.0,20.0,4936.0,0,0,0,9270.0
376,vio377,0.0,290.0,2778.0,0,0,0,51140.0
377,vio378,0.0,100.0,3489.0,0,0,0,36310.0
378,vio379,0.0,780.0,998.0,0,0,0,171060.0
379,vio380,0.0,190.0,3275.0,0,0,0,4690.0
380,vio381,0.0,530.0,1546.0,0,0,0,123730.0
381,vio382,0.0,0.0,0.0,0,0,0,1430.0
382,vio383,0.0,1360.0,6356.0,0,0,0,134530.0
383,vio384,0.0,120.0,698.0,0,0,0,20620.0
384,vio385,0.0,100.0,1567.0,0,0,0,33300.0
385,vio386,0.0,590.0,3155.0,0,0,0,37620.0
386,vio387,0.0,0.0,0.0,0,0,0,2240.0
387,vio388,0.0,0.0,3131.0,0,0,0,13920.0
388,vio389,0.0,10690.0,5128.0,0,0,0,274320.0
389,vio390,0.0,80.0,8446.0,0,0,0,11780.0
390,vio391,0.0,90.0,1240.0,0,0,0,9890.0
391,vio392,0.0,720.0,4569.0,0,0,0,46900.0
392,vio393,20.0,30060.0,1708.0,0,0,0,2596590.0
393,vio394,0.0,50.0,3321.0,0,0,0,71180.0
394,vio395,0.0,130.0,1080.0,0,0,0,26840.0
395,vio396,0.0,120.0,4424.0,0,0,0,30510.0
396,vio397,0.0,110.0,4636.0,0,0,0,10160.0
397,vio398,0.0,190.0,5388.0,0,0,0,21630.0
398,vio399,0.0,400.0,573.0,0,0,0,123440.0
399,vio400,0.0,670.0,4998.0,0,0,0,26150.0
400,vio401,0.0,1210.0,444.0,0,0,0,83040.0
401,vio402,0.0,890.0,7061.0,0,0,0,113580.0
402,vio403,0.0,130.0,6118.0,0,0,0,9510.0
403,vio404,0.0,120.0,1981.0,0,0,0,7190.0
404,vio405,0.0,1040.0,5022.0,0,0,0,65990.0
405,vio406,0.0,430.0,6013.0,0,0,0,70340.0
406,vio407,0.0,70.0,6126.0,0,0,0,14860.0
407,vio408,0.0,80.0,11923.0,0,0,0,43470.0
408,vio409,0.0,430.0,833.0,0,0,0,29040.0
409,vio410,0.0,250.0,5607.0,0,0,0,50060.0
410,vio411,0.0,120.0,7785.0,0,0,0,63080.0
411,vio412,0.0,970.0,4478.0,0,0,0,255950.0
412,vio413,0.0,20.0,4434.0,0,0,0,2940.0
413,vio414,0.0,20.0,9136.0,0,0,0,5950.0
414,vio415,0.0,300.0,6028.0,0,0,0,16440.0
415,vio416,0.0,200.0,2384.0,0,0,0,17400.0
416,vio417,0.0,1430.0,3083.0,0,0,0,220370.0
417,vio418,10.0,3160.0,5422.0,0,0,0,174340.0
418,vio419,10.0,2410.0,3163.0,0,0,0,506820.0
419,vio420,0.0,590.0,1436.0,0,0,0,86670.0
420,vio421,0.0,310.0,98.0,0,0,0,58680.0
421,vio422,0.0,100.0,318.0,0,0,0,33930.0
422,vio423,0.0,0.0,1315.0,0,0,0,25200.0
423,vio424,0.0,70.0,1123.0,0,0,0,18970.0
424,vio425,0.0,40.0,4768.0,0,0,0,15220.0
425,vio426,0.0,160.0,4913.0,0,0,0,46590.0
426,vio427,30.0,50.0,3791.0,0,0,0,27720.0
427,vio428,0.0,0.0,0.0,0,0,0,26520.0
428,vio429,0.0,60.0,171.0,0,0,0,39880.0
429,vio430,0.0,180.0,1646.0,0,0,0,39220.0
430,vio431,0.0,460.0,2973.0,0,0,0,104880.0
